case_id,customer_id,order_id,case_type,current_stage,status,opened_date,closed_date
CASE0001,CUST1001,ORD5001,Complaint,Under Review,Open,2026-08-01,
CASE0002,CUST1002,ORD5002,Complaint,Evidence Review,Open,2026-08-02,
CASE0003,CUST1003,ORD5003,Complaint,Refund Processing,In Progress,2026-08-03,
CASE0004,CUST1004,ORD5004,Complaint,Replacement Processing,In Progress,2026-08-04,
CASE0005,CUST1005,ORD5005,Complaint,Evidence Review,Open,2026-08-05,
CASE0006,CUST1006,ORD5006,Complaint,Warehouse,In Progress,2026-08-06,
CASE0007,CUST1007,ORD5007,Complaint,Voucher Approval,In Progress,2026-08-07,
CASE0008,CUST1008,ORD5008,Complaint,Finance,In Progress,2026-08-08,
CASE0009,CUST1009,ORD5009,Complaint,Shipment,In Progress,2026-08-09,
CASE0010,CUST1010,ORD5010,Complaint,Customer Care,Escalated,2026-08-10,
CASE0011,CUST1011,ORD5011,Complaint,Customer Care,Escalated,2026-08-11,
CASE0012,CUST1012,ORD5012,Complaint,Finance,In Progress,2026-08-12,
CASE0013,CUST1013,ORD5013,Complaint,Case Manager,Escalated,2026-08-13,
CASE0014,CUST1014,ORD5014,Complaint,Inventory,In Progress,2026-08-14,
CASE0015,CUST1015,ORD5015,Complaint,Warehouse,In Progress,2026-08-15,
CASE0016,CUST1016,ORD5016,Complaint,Voucher Issued,Closed,2026-08-16,2026-08-18
CASE0017,CUST1017,ORD5017,Complaint,Replacement Processing,In Progress,2026-08-17,
CASE0018,CUST1018,ORD5018,Complaint,Under Review,Open,2026-08-18,
CASE0019,CUST1019,ORD5019,Complaint,Refund Verification,In Progress,2026-08-19,
CASE0020,CUST1020,ORD5020,Complaint,Evidence Review,Open,2026-08-20,
