order_id,customer_id,product_id,order_date,delivery_date,amount,order_status
ORD5001,CUST1001,PROD101,2026-07-01,2026-07-04,55000,Delivered
ORD5002,CUST1002,PROD102,2026-07-02,2026-07-05,62000,Delivered
ORD5003,CUST1003,PROD103,2026-07-03,2026-07-06,95000,Delivered
ORD5004,CUST1004,PROD104,2026-07-04,2026-07-07,75000,Delivered
ORD5005,CUST1005,PROD105,2026-07-05,2026-07-08,85000,Delivered
ORD5006,CUST1006,PROD106,2026-07-06,2026-07-09,65000,Delivered
ORD5007,CUST1007,PROD107,2026-07-07,2026-07-10,2500,Delivered
ORD5008,CUST1008,PROD108,2026-07-08,2026-07-11,25000,Delivered
ORD5009,CUST1009,PROD109,2026-07-09,2026-07-12,45000,Delivered
ORD5010,CUST1010,PROD110,2026-07-10,2026-07-13,50000,Delivered
ORD5011,CUST1011,PROD111,2026-07-11,2026-07-14,42000,Delivered
ORD5012,CUST1012,PROD112,2026-07-12,2026-07-15,55000,Delivered
ORD5013,CUST1013,PROD113,2026-07-13,2026-07-16,1200,Delivered
ORD5014,CUST1014,PROD114,2026-07-14,2026-07-17,3500,Delivered
ORD5015,CUST1015,PROD115,2026-07-15,2026-07-18,35000,Delivered
ORD5016,CUST1016,PROD116,2026-07-16,2026-07-19,28000,Delivered
ORD5017,CUST1017,PROD117,2026-07-17,2026-07-20,22000,Delivered
ORD5018,CUST1018,PROD118,2026-07-18,2026-07-21,65000,Delivered
ORD5019,CUST1019,PROD119,2026-07-19,2026-07-22,1800,Delivered
ORD5020,CUST1020,PROD120,2026-07-20,2026-07-23,5500,Delivered
