voucher_id,case_id,customer_id,amount,status,issued_date
VOC001,CASE0007,CUST1007,500,Issued,2026-08-15
VOC002,CASE0016,CUST1016,1000,Issued,2026-08-16
VOC003,CASE0003,CUST1003,500,Used,2026-08-17
VOC004,CASE0005,CUST1005,1000,Used,2026-08-18
VOC005,CASE0008,CUST1008,500,Issued,2026-08-19
VOC006,CASE0014,CUST1014,500,Issued,2026-08-20
VOC007,CASE0020,CUST1020,1000,Used,2026-08-21
VOC008,CASE0001,CUST1001,500,Issued,2026-08-22
VOC009,CASE0002,CUST1002,500,Used,2026-08-23
VOC010,CASE0004,CUST1004,1000,Issued,2026-08-24
VOC011,CASE0006,CUST1006,500,Issued,2026-08-25
VOC012,CASE0009,CUST1009,500,Used,2026-08-26
VOC013,CASE0010,CUST1010,500,Issued,2026-08-27
VOC014,CASE0011,CUST1011,1000,Issued,2026-08-28
VOC015,CASE0012,CUST1012,500,Used,2026-08-29
VOC016,CASE0013,CUST1013,500,Issued,2026-08-30
VOC017,CASE0015,CUST1015,1000,Issued,2026-08-31
VOC018,CASE0017,CUST1017,500,Used,2026-09-01
VOC019,CASE0018,CUST1018,500,Issued,2026-09-02
VOC020,CASE0019,CUST1019,1000,Issued,2026-09-03
