log_id,case_id,timestamp,action,user
LOG001,CASE0001,2026-08-01 09:00,Case Created,System
LOG002,CASE0001,2026-08-01 09:05,Routed To Complaint Agent,System
LOG003,CASE0001,2026-08-01 09:15,Evidence Submitted,Customer
LOG004,CASE0001,2026-08-01 10:00,Evidence Approved,EVID001
LOG005,CASE0001,2026-08-01 10:30,Replacement Recommended,AI
LOG006,CASE0001,2026-08-01 11:00,Case Manager Approved,Manager01
LOG007,CASE0001,2026-08-01 11:30,Warehouse Task Created,System
LOG008,CASE0001,2026-08-02 10:00,Inventory Allocated,DEP003
LOG009,CASE0001,2026-08-03 10:00,Shipment Created,DEP004
LOG010,CASE0001,2026-08-04 14:00,Replacement Delivered,DEP005
LOG011,CASE0001,2026-08-04 15:00,Case Closed,System
LOG012,CASE0002,2026-08-02 09:00,Case Created,System
LOG013,CASE0003,2026-08-03 09:00,Case Created,System
LOG014,CASE0004,2026-08-04 09:00,Case Created,System
LOG015,CASE0005,2026-08-05 09:00,Case Created,System
LOG016,CASE0006,2026-08-06 09:00,Case Created,System
LOG017,CASE0007,2026-08-07 09:00,Case Created,System
LOG018,CASE0008,2026-08-08 09:00,Case Created,System
LOG019,CASE0009,2026-08-09 09:00,Case Created,System
LOG020,CASE0010,2026-08-10 09:00,Case Created,System
